Crash_UID,AlcoholInvolved,AtIntersection,BicycleInvolved,Year,Quarter,Month,Day,CrashTime,CrashType,DayOfWeek,DaytimeNighttime_NHTSA,DistractedDriverInvolved,DistractedDriverInjuries,DriverTextingInvolved,DriverUsingCellPhone,FunctionalClassCode,Hour,IntersectionType,Jurisdiction,Sum of Latitude,Sum of Longitude,LocationTypeName,Meteorological Season,MonthName,MotorcycleInvolved,Number_Of_Fatalities,Number_Of_Injuries,PedestrianFatalities,PedestrianInjuries,PedestrianInvolved,RelationToRoadway_Category,RelationToRoadway_Value,RoadName,RouteName,SchoolZone,SecondaryLocation,Age,Gender,Age_Groups,Pedestrian_UID,PedestrianAction_Category,PedestrianAction_Value,PedestrianCondition,PedestrianDrinking_Category,PedestrianDrinking_Value,PedestrianInjuryType,PedestrianState,WearReflectiveClothing,Year,WorkZoneType,WorkZoneLocation,WeatherCondition,TrafficControlType,TownName,Single_Multi_Vehicle,TypeOfCollision,TrainRelated,SpeedRelated,TrafficControlMechanicalDevice,MileMarker,RouteNumber,RoadwayDescription,RoadwayAlignment,RoadwayDefect,RoadwaySurfaceCondition,Sum of NumberOfVehicles,SchoolZoneInvolved,WorkZoneRelated
c3441621,No,At Intersection,No,2022,Qtr 3,September,23,1899-12-30 11:25:00,Injury Crash,Friday,Daytime,No,0,No,No,Minor Arterial,11,Three Approaches,Richmond City,37.54579,-77.45531,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Within Intersection,VA-147P,MAIN ST,No,HARRISON ST,51,Female,51 - 64 Y.O.,ped0400998,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,2.06,147,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c6085135,No,At Intersection,No,2022,Qtr 3,September,23,1899-12-30 15:50:00,Injury Crash,Friday,Daytime,No,0,No,No,Major Collector,15,Not at Intersection,Alexandria City,38.82097,-77.05265,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Non-Intersection,UR-6596E (CITY OF ALEXANDRIA),MONROE AVE,Yes,LESLIE AVE,12,Male,under 15 Y.O.,ped0575769,Crossing Not At Intersection,Crossing Not At Intersection – Urban,No Defects,Not Applicable,Not Applicable,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.73,,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,Yes,No
c1391713,No,At Intersection,No,2022,Qtr 3,September,23,1899-12-30 17:04:00,Injury Crash,Friday,Daytime,No,0,No,No,Minor Arterial,17,Not at Intersection,Bristol City,36.61193,-82.16414,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Non-Intersection,UR-3312E (CITY OF BRISTOL),VALLEY DR,No,TEXAS AVE,47,Female,36 - 50 Y.O.,ped7220792,Not In Roadway,Not In Roadway,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,TN,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),No Traffic Control,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,1.54,,"Two-Way, Not Divided",Hillcrest - Straight,No Defects,Dry,1,No,No
c4384330,No,At Intersection,No,2022,Qtr 3,September,24,1899-12-30 11:52:00,Injury Crash,Saturday,Daytime,No,0,No,No,"",11,Three Approaches,Richmond City,37.55008,-77.454,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Within Intersection,HARRISON ST N (NP - CITY OF RICHMOND),HARRISON ST,No,FRANKLIN ST,19,Female,15 - 20 Y.O.,ped5450347,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.28,,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c7027047,No,At Intersection,No,2022,Qtr 3,September,24,1899-12-30 20:40:00,Fatal Crash,Saturday,Nighttime,No,0,No,No,Minor Arterial,20,Not at Intersection,Henrico County,37.54586,-77.36616,Urban,Autumn,September,No,1,1,1,0,Yes,Intersection Area,Non-Intersection,VA-33W,NINE MILE RD,No,KENWAY AVE,52,Male,51 - 64 Y.O.,ped1956808,Crossing Not At Intersection,Crossing Not At Intersection – Urban,No Defects,Had Not Been Drinking,Had Not Been Drinking,Dead,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,5.23,33,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c1466461,No,At Intersection,No,2022,Qtr 3,September,25,1899-12-30 10:07:00,Injury Crash,Sunday,Daytime,No,0,No,No,Major Collector,10,Four Approaches,Albemarle County,38.06122,-78.46263,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Intersection Related - Within 150 Feet,SC-631N (ALBEMARLE COUNTY),RIO RD,No,JOHN  WARNER PKWY,21,Female,21 - 35 Y.O.,ped4937815,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,12.62,631,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c5769001,No,At Intersection,No,2022,Qtr 3,September,26,1899-12-30 09:34:00,Injury Crash,Monday,Daytime,No,0,No,No,Major Collector,9,Four Approaches,Botetourt County,37.35521,-79.84743,Urban,Autumn,September,No,0,2,0,1,Yes,Intersection Area,Within Intersection,SC-658S (BOTETOURT COUNTY),LAYMANTOWN RD,No,LAKERIDGE CIR,71,Female,65 and over Y.O.,ped8795810,Not In Roadway,Not In Roadway,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Stop Sign,"",Multiple Vehicle Crashes,Angle,No,No,Yes - Working,2.54,658,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,2,No,No
c7684610,No,At Intersection,No,2022,Qtr 3,September,26,1899-12-30 14:30:00,Injury Crash,Monday,Daytime,No,0,No,No,Other Principal Arterial,14,Four Approaches,Suffolk City,36.73788,-76.58248,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Within Intersection,BUS US-460W (4 CITY OF SUFFOLK),MAIN ST,No,CONSTANCE RD,19,Male,15 - 20 Y.O.,ped6977051,Crossing Not At Intersection,Crossing Not At Intersection – Urban,Not Provided,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,2.85,460,"Two-Way, Divided, Positive Median Barrier",Straight - Level,No Defects,Dry,1,No,No
c4916679,No,At Intersection,No,2022,Qtr 3,September,26,1899-12-30 16:52:00,Injury Crash,Monday,Daytime,No,0,No,No,Local,16,Not at Intersection,Chesapeake City,36.80238,-76.24344,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Non-Intersection,UR-8635S (CITY OF CHESAPEAKE),DUNBARTON DR,No,LONGDALE CRES,11,Female,under 15 Y.O.,ped9128338,Crossing Not At Intersection,Crossing Not At Intersection – Rural,Other,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.05,,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c8625574,No,At Intersection,No,2022,Qtr 3,September,26,1899-12-30 21:29:00,Injury Crash,Monday,Nighttime,Yes,1,No,No,Local,21,Not at Intersection,Norfolk City,36.89724,-76.233,Urban,Autumn,September,No,0,2,0,1,Yes,Intersection Area,Non-Intersection,TRAFALGAR CT (NP - CITY OF NORFOLK),TRAFALGAR CT,No,PICADILLY ST,76,Male,65 and over Y.O.,ped0803714,Standing In Roadway,Standing In Roadway,No Defects,Not Applicable,Not Applicable,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),No Traffic Control,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,0.05,,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c6562974,No,At Intersection,No,2022,Qtr 3,September,27,1899-12-30 15:17:00,Injury Crash,Tuesday,Daytime,No,0,No,No,Minor Arterial,15,Four Approaches,Prince William County,38.63424,-77.32031,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Within Intersection,SC-784W (PRINCE WILLIAM COUNTY),DALE BLVD,No,CLOVERDALE RD,33,Female,21 - 35 Y.O.,ped6569412,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Not Applicable,Not Applicable,Minor/Possible Injury,DC,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,5.46,784,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c8553651,No,At Intersection,No,2022,Qtr 3,September,27,1899-12-30 15:23:00,Injury Crash,Tuesday,Daytime,No,0,No,No,Local,15,Four Approaches,Radford City,37.13232,-80.57133,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Within Intersection,RANDOLPH ST (PR - CITY OF RADFORD),RANDOLPH ST,No,FOURTH ST,11,Male,under 15 Y.O.,ped7359443,Playing In Roadway,Playing In Roadway,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Stop Sign,"",Single Vehicle Crashes,Other,No,No,Yes - Working,0.21,,"Two-Way, Not Divided",Grade - Straight,No Defects,Dry,1,No,No
c3433853,No,At Intersection,No,2022,Qtr 3,September,27,1899-12-30 16:13:00,Injury Crash,Tuesday,Daytime,No,0,No,No,Major Collector,16,Four Approaches,Henrico County,37.62811,-77.55287,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Within Intersection,CR-7708W (HENRICO COUNTY),MAYLAND DR,No,OLD MAYLAND RD,14,Female,under 15 Y.O.,ped3146762,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,1.34,7708,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c6997514,No,At Intersection,No,2022,Qtr 3,September,28,1899-12-30 06:12:00,Injury Crash,Wednesday,Daytime,No,0,No,No,Minor Arterial,6,Four Approaches,Prince William County,38.67501,-77.37219,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Intersection Related - Within 150 Feet,SC-642W (PRINCE WILLIAM COUNTY),HOADLY RD,No,LOST CREEK CT,62,Female,51 - 64 Y.O.,ped2962910,Crossing At Intersection,Crossing At Intersection No Signal,Other,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,3.92,642,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c1628939,No,At Intersection,No,2022,Qtr 3,September,28,1899-12-30 09:13:00,Injury Crash,Wednesday,Daytime,No,0,No,No,"",9,Four Approaches,Loudoun County,39.08703,-77.57159,Rural,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Within Intersection,BATTLEFIELD PKWY (NP - TOWN OF LEESBURG),BATTLEFIELD PKWY,No,EVERGREEN MILL RD,13,Male,under 15 Y.O.,ped6889267,Crossing At Intersection,Crossing At Intersection Against Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,Leesburg,Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,5.84,,"Two-Way, Divided, Positive Median Barrier",Straight - Level,No Defects,Dry,1,No,No
c6043411,No,At Intersection,No,2022,Qtr 3,September,28,1899-12-30 20:07:00,Injury Crash,Wednesday,Nighttime,No,0,No,No,Major Collector,20,Four Approaches,Fairfax County,38.96021,-77.35319,Urban,Autumn,September,No,0,2,0,1,Yes,Intersection Area,Intersection Related - Within 150 Feet,SC-6363W (FAIRFAX COUNTY),TEMPORARY RD,No,OLD RESTON AVE,38,Female,36 - 50 Y.O.,ped6595987,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),No Traffic Control,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,0.82,6363,"Two-Way, Divided, Unprotected Median",Grade - Straight,No Defects,Dry,1,No,No
c2572347,No,At Intersection,No,2022,Qtr 3,September,29,1899-12-30 15:27:00,Injury Crash,Thursday,Daytime,No,0,No,No,Local,15,Not at Intersection,Va. Beach City,36.84215,-76.13369,Urban,Autumn,September,No,0,1,0,1,Yes,Interchange Area,Main-Line Roadway,MAIN ST (PR - CITY OF VIRGINIA BEACH),MAIN ST,No,CENTRAL PARK AVE,76,Female,65 and over Y.O.,ped1749812,Walking In Roadway,Walking In Roadway Against Traffic – Sidewalks Available,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.13,,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c0592969,No,At Intersection,No,2022,Qtr 3,September,29,1899-12-30 17:45:00,Injury Crash,Thursday,Daytime,Yes,0,No,No,Minor Arterial,17,Three Approaches,Fairfax County,38.98601,-77.37738,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Within Intersection,VA-228N,DRANESVILLE RD,No,BENNETT ST,16,Male,15 - 20 Y.O.,ped1107095,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,Herndon,Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,3.17,228,"Two-Way, Divided, Positive Median Barrier",Grade - Straight,No Defects,Dry,1,No,No
c0205416,No,At Intersection,No,2022,Qtr 3,September,30,1899-12-30 17:20:00,Injury Crash,Friday,Daytime,No,0,No,No,Other Principal Arterial,17,Four Approaches,Arlington County,38.89748,-77.12358,Urban,Autumn,September,No,0,1,0,1,Yes,Intersection Area,Within Intersection,VA-120E,GLEBE RD,No,LEE HWY,27,Female,21 - 35 Y.O.,ped5280177,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,CA,No,2022,Not Provided,Not Provided,Rain,Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,3.04,120,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Wet,1,No,No
c1500708,No,At Intersection,No,2022,Qtr 4,October,2,1899-12-30 19:55:00,Fatal Crash,Sunday,Nighttime,No,0,No,No,Minor Arterial,19,Three Approaches,Fairfax County,38.83281,-77.1969,Urban,Autumn,October,No,1,0,1,0,Yes,Intersection Area,Intersection Related - Within 150 Feet,SC-650N (FAIRFAX COUNTY),ANNANDALE RD,No,MAPLE PL,74,Female,65 and over Y.O.,ped7069262,Crossing Not At Intersection,Crossing Not At Intersection – Urban,Not Applicable,Had Not Been Drinking,Had Not Been Drinking,Dead,VA,No,2022,Not Provided,Not Provided,Rain,Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.15,650,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Wet,1,No,No
c0924081,No,At Intersection,No,2022,Qtr 4,October,3,1899-12-30 16:30:00,Injury Crash,Monday,Daytime,Yes,0,No,No,Other Principal Arterial,16,Four Approaches,Arlington County,38.85952,-77.09881,Urban,Autumn,October,No,0,1,0,1,Yes,Intersection Area,Within Intersection,CR-23W (ARLINGTON COUNTY),COLUMBIA PIKE,No,QUINCY ST,53,Female,51 - 64 Y.O.,ped8010880,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,Rain,Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,1.28,23,"Two-Way, Not Divided",Straight - Level,No Defects,Wet,1,No,No
c7609997,No,At Intersection,No,2022,Qtr 4,October,3,1899-12-30 18:13:00,Injury Crash,Monday,Nighttime,No,0,No,No,Local,18,Not at Intersection,Harrisonburg City,38.42844,-78.87433,Urban,Autumn,October,No,0,1,0,1,Yes,Interchange Area,Main-Line Roadway,FOREST HILL RD (PR - CITY OF HARRISONBURG),FOREST HILL RD,No,PORT REPUBLIC RD,23,Male,21 - 35 Y.O.,ped0339995,Other,Other,No Defects,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.21,,"Two-Way, Not Divided",Grade - Straight,No Defects,Dry,1,No,No
c1516885,No,At Intersection,No,2022,Qtr 4,October,3,1899-12-30 21:45:00,Injury Crash,Monday,Nighttime,No,0,No,No,Minor Arterial,21,Not at Intersection,Fairfax County,38.84788,-77.20557,Urban,Autumn,October,No,0,1,0,1,Yes,Interchange Area,Main-Line Roadway,SC-650S (FAIRFAX COUNTY),GALLOWS RD,No,TRAMMELL RD,66,Male,65 and over Y.O.,ped6747144,Not In Roadway,Not In Roadway,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,Rain,No Traffic Control,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,1.33,650,"Two-Way, Not Divided",Straight - Level,No Defects,Wet,1,No,No
c4713182,No,At Intersection,No,2022,Qtr 4,October,4,1899-12-30 15:27:00,Injury Crash,Tuesday,Daytime,No,0,No,No,Local,15,Not at Intersection,Washington County,36.68385,-82.01009,Urban,Autumn,October,No,0,2,0,1,Yes,Intersection Area,Non-Intersection,SC-1520N (WASHINGTON COUNTY),WESTWOOD DR,No,MCCRAY DR,57,Male,51 - 64 Y.O.,ped0961966,Not In Roadway,Not In Roadway,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,Not Applicable,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),No Traffic Control,"",Multiple Vehicle Crashes,Angle,No,Yes,No Traffic Control Device Present,0.26,1520,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,2,No,No
c3277582,No,At Intersection,No,2022,Qtr 4,October,4,1899-12-30 20:35:00,Injury Crash,Tuesday,Nighttime,No,0,No,No,"",20,Four Approaches,Stafford County,38.33749,-77.48585,Urban,Autumn,October,No,0,1,0,1,Yes,Intersection Area,Intersection Related - Within 150 Feet,BUS US-17S (1 STAFFORD COUNTY),WARRENTON RD,No,OLDE FORGE DR,27,Male,21 - 35 Y.O.,ped2938525,Standing In Roadway,Standing In Roadway,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,MD,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Multiple Vehicle Crashes,Rear End,No,No,Yes - Working,1.69,17,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,2,No,No
c0355945,No,At Intersection,No,2022,Qtr 4,October,5,1899-12-30 06:44:00,Injury Crash,Wednesday,Daytime,Yes,0,No,No,Major Collector,6,Three Approaches,Fairfax County,38.95713,-77.36041,Urban,Autumn,October,No,0,1,0,1,Yes,Intersection Area,Within Intersection,SC-7199E (FAIRFAX COUNTY),BLUEMONT WAY,No,EXPLORER ST,57,Female,51 - 64 Y.O.,ped7809521,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Not Applicable,Not Applicable,No Apparent Injury,VA,No,2022,Not Provided,Not Provided,Rain,Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.12,7199,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Wet,1,No,No
c6083586,No,At Intersection,No,2022,Qtr 4,October,6,1899-12-30 06:49:00,Fatal Crash,Thursday,Daytime,No,0,No,No,Other Principal Arterial,6,Four Approaches,Fairfax County,38.70869,-77.15902,Urban,Autumn,October,No,1,0,1,0,Yes,Intersection Area,Within Intersection,US-1N,RICHMOND HWY,No,POHICK RD,53,Female,51 - 64 Y.O.,ped8363240,Crossing At Intersection,Crossing At Intersection Against Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Dead,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,182.67,1,"Two-Way, Divided, Positive Median Barrier",Straight - Level,No Defects,Dry,1,No,No
c5024013,No,At Intersection,No,2022,Qtr 4,October,6,1899-12-30 08:04:00,Fatal Crash,Thursday,Daytime,No,0,No,No,Minor Arterial,8,Four Approaches,King William County,37.71722,-77.07219,Rural,Autumn,October,No,1,0,1,0,Yes,Intersection Area,Within Intersection,VA-30E,KING WILLIAM RD,No,CHINQUAPIN RD,72,Male,65 and over Y.O.,ped3530145,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Dead,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),No Passing Lines,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,24.86,30,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c0569976,No,At Intersection,No,2022,Qtr 4,October,6,1899-12-30 08:11:00,Injury Crash,Thursday,Daytime,No,0,No,No,"",8,Four Approaches,Va. Beach City,36.81835,-76.16832,Urban,Autumn,October,No,0,3,0,2,Yes,Intersection Area,Within Intersection,LORD DUNMORE DR (NP - CITY OF VIRGINIA BEACH),LORD DUNMORE DR,No,BALFOR DR,71,Female,65 and over Y.O.,ped8722550,Walking In Roadway,Walking In Roadway With Traffic – Sidewalks Available,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.67,,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c0569976,No,At Intersection,No,2022,Qtr 4,October,6,1899-12-30 08:11:00,Injury Crash,Thursday,Daytime,No,0,No,No,"",8,Four Approaches,Va. Beach City,36.81835,-76.16832,Urban,Autumn,October,No,0,3,0,2,Yes,Intersection Area,Within Intersection,LORD DUNMORE DR (NP - CITY OF VIRGINIA BEACH),LORD DUNMORE DR,No,BALFOR DR,71,Male,65 and over Y.O.,ped2221776,Walking In Roadway,Walking In Roadway With Traffic – Sidewalks Available,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,UK,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.67,,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c0461557,No,At Intersection,No,2022,Qtr 4,October,6,1899-12-30 08:23:00,Injury Crash,Thursday,Daytime,No,0,No,No,Minor Collector,8,Four Approaches,Prince William County,38.68715,-77.30339,Urban,Autumn,October,No,0,2,0,1,Yes,Intersection Area,Within Intersection,SC-2199S (PRINCE WILLIAM COUNTY),MOHICAN RD,Yes - With School Activity,SEMINOLE RD,67,Female,65 and over Y.O.,ped6609587,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.23,2199,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,Yes,No
c2242759,No,At Intersection,No,2022,Qtr 4,October,6,1899-12-30 19:55:00,Injury Crash,Thursday,Nighttime,No,0,No,No,Other Principal Arterial,19,Three Approaches,Alexandria City,38.80333,-77.05187,Urban,Autumn,October,No,0,2,0,1,Yes,Intersection Area,Within Intersection,VA-236W,DUKE ST,No,HENRY ST,40,Male,36 - 50 Y.O.,ped8924363,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Pedestrian Crosswalk,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,15.29,236,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c4927892,No,At Intersection,No,2022,Qtr 4,October,7,1899-12-30 06:48:00,Fatal Crash,Friday,Daytime,No,0,No,No,Minor Arterial,6,Not at Intersection,Henrico County,37.52622,-77.30758,Urban,Autumn,October,No,1,0,1,0,Yes,Intersection Area,Non-Intersection,VA-33W,NINE MILE RD,No,GARLAND AVE,66,Male,65 and over Y.O.,ped3436212,Walking In Roadway,Walking In Roadway With Traffic – Sidewalks Not Available,Hearing Defective,Not Applicable,Not Applicable,Dead,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,9.39,33,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c5087364,No,At Intersection,No,2022,Qtr 4,October,8,1899-12-30 09:00:00,Fatal Crash,Saturday,Daytime,No,0,No,No,Major Collector,9,Four Approaches,Arlington County,38.90181,-77.14905,Urban,Autumn,October,No,1,1,1,0,Yes,Intersection Area,Within Intersection,CR-6771E (ARLINGTON COUNTY),LITTLE FALLS RD,No,JOHN MARSHALL DR,85,Female,65 and over Y.O.,ped4572948,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Dead,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Stop Sign,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,0.38,6771,"Two-Way, Divided, Positive Median Barrier",Grade - Straight,No Defects,Dry,1,No,No
